"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","5","dixons198501","http://tomcrane.github.io/dixons1985/jpg/01.jpg","","dixons1985cat","","","","","-1","0","0","0"
"Image","1","5","dixons198502","http://tomcrane.github.io/dixons1985/jpg/02.jpg","","dixons1985cat","","","","","-1","1","0","0"
"Image","2","5","dixons198503","http://tomcrane.github.io/dixons1985/jpg/03.jpg","","dixons1985cat","","","","","-1","2","0","0"
"Image","3","5","dixons198504","http://tomcrane.github.io/dixons1985/jpg/04.jpg","","dixons1985cat","","","","","-1","3","0","0"
"Image","4","5","dixons198505","http://tomcrane.github.io/dixons1985/jpg/05.jpg","","dixons1985cat","","","","","-1","4","0","0"
"Image","5","5","dixons198506","http://tomcrane.github.io/dixons1985/jpg/06.jpg","","dixons1985cat","","","","","-1","5","0","0"
"Image","6","5","dixons198507","http://tomcrane.github.io/dixons1985/jpg/07.jpg","","dixons1985cat","","","","","-1","6","0","0"
"Image","7","5","dixons198508","http://tomcrane.github.io/dixons1985/jpg/08.jpg","","dixons1985cat","","","","","-1","7","0","0"
"Image","8","5","dixons198509","http://tomcrane.github.io/dixons1985/jpg/09.jpg","","dixons1985cat","","","","","-1","8","0","0"
"Image","9","5","dixons198510","http://tomcrane.github.io/dixons1985/jpg/10.jpg","","dixons1985cat","","","","","-1","9","0","0"
"Image","10","5","dixons198511","http://tomcrane.github.io/dixons1985/jpg/11.jpg","","dixons1985cat","","","","","-1","10","0","0"
"Image","11","5","dixons198512","http://tomcrane.github.io/dixons1985/jpg/12.jpg","","dixons1985cat","","","","","-1","11","0","0"
"Image","12","5","dixons198513","http://tomcrane.github.io/dixons1985/jpg/13.jpg","","dixons1985cat","","","","","-1","12","0","0"
"Image","13","5","dixons198514","http://tomcrane.github.io/dixons1985/jpg/14.jpg","","dixons1985cat","","","","","-1","13","0","0"
"Image","14","5","dixons198515","http://tomcrane.github.io/dixons1985/jpg/15.jpg","","dixons1985cat","","","","","-1","14","0","0"
"Image","15","5","dixons198516","http://tomcrane.github.io/dixons1985/jpg/16.jpg","","dixons1985cat","","","","","-1","15","0","0"
"Image","16","5","dixons198517","http://tomcrane.github.io/dixons1985/jpg/17.jpg","","dixons1985cat","","","","","-1","16","0","0"
"Image","17","5","dixons198518","http://tomcrane.github.io/dixons1985/jpg/18.jpg","","dixons1985cat","","","","","-1","17","0","0"
"Image","18","5","dixons198519","http://tomcrane.github.io/dixons1985/jpg/19.jpg","","dixons1985cat","","","","","-1","18","0","0"
"Image","19","5","dixons198520","http://tomcrane.github.io/dixons1985/jpg/20.jpg","","dixons1985cat","","","","","-1","19","0","0"
"Image","20","5","dixons198521","http://tomcrane.github.io/dixons1985/jpg/21.jpg","","dixons1985cat","","","","","-1","20","0","0"
"Image","21","5","dixons198522","http://tomcrane.github.io/dixons1985/jpg/22.jpg","","dixons1985cat","","","","","-1","21","0","0"
"Image","22","5","dixons198523","http://tomcrane.github.io/dixons1985/jpg/23.jpg","","dixons1985cat","","","","","-1","22","0","0"
"Image","23","5","dixons198524","http://tomcrane.github.io/dixons1985/jpg/24.jpg","","dixons1985cat","","","","","-1","23","0","0"
"Image","24","5","dixons198525","http://tomcrane.github.io/dixons1985/jpg/25.jpg","","dixons1985cat","","","","","-1","24","0","0"
"Image","25","5","dixons198526","http://tomcrane.github.io/dixons1985/jpg/26.jpg","","dixons1985cat","","","","","-1","25","0","0"
"Image","26","5","dixons198527","http://tomcrane.github.io/dixons1985/jpg/27.jpg","","dixons1985cat","","","","","-1","26","0","0"
"Image","27","5","dixons198528","http://tomcrane.github.io/dixons1985/jpg/28.jpg","","dixons1985cat","","","","","-1","27","0","0"
"Image","28","5","dixons198529","http://tomcrane.github.io/dixons1985/jpg/29.jpg","","dixons1985cat","","","","","-1","28","0","0"
"Image","29","5","dixons198530","http://tomcrane.github.io/dixons1985/jpg/30.jpg","","dixons1985cat","","","","","-1","29","0","0"
"Image","30","5","dixons198531","http://tomcrane.github.io/dixons1985/jpg/31.jpg","","dixons1985cat","","","","","-1","30","0","0"
"Image","31","5","dixons198532","http://tomcrane.github.io/dixons1985/jpg/32.jpg","","dixons1985cat","","","","","-1","31","0","0"